CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
PC(16:1_14:0),XIC,C38 H74 O8 N1 P1,ESI,704.5224834700001,H-Gain,+,1,7.530036106002816,,
PC(6:0_24:2),XIC,C38 H72 O8 N1 P1,ESI,702.5068334700001,H-Gain,+,1,6.406834884503789,,
PC(6:0_24:2),XIC,C38 H72 O8 N1 P1,ESI,746.4977605299999,HCO2-Gain,-,1,6.406834884503789,,
PC(8:0_22:3),XIC,C38 H70 O8 N1 P1,ESI,700.4911834700001,H-Gain,+,1,5.604,,
PC(9:0_22:1),XIC,C39 H76 O8 N1 P1,ESI,718.5381334700002,H-Gain,+,1,11.881710529110709,,
PC(31:3),XIC,C39 H72 O8 N1 P1,ESI,714.5068334700001,H-Gain,+,1,8.820000000000002,,
PC(16:0_16:0),XIC,C40 H80 O8 N1 P1,ESI,756.55137847,Na-Gain,+,1,7.9941762416183835,,
PC(16:0_16:0),XIC,C40 H80 O8 N1 P1,ESI,756.55137847,Na-Gain,+,1,8.509,,
PC(16:0_16:0),XIC,C40 H80 O8 N1 P1,ESI,756.55137847,Na-Gain,+,1,11.161456976273524,,
PC(16:0_16:0),XIC,C40 H80 O8 N1 P1,ESI,778.5603605299999,HCO2-Gain,-,1,11.161456976273524,,
PC(16:0_16:0),XIC,C40 H80 O8 N1 P1,ESI,734.56943347,H-Gain,+,1,11.161456976273524,,
PC(16:0_16:0),XIC,C40 H80 O8 N1 P1,ESI,734.56943347,H-Gain,+,1,11.463862907253137,,
PC(20:0_12:0),XIC,C40 H80 O8 N1 P1,ESI,756.55137847,Na-Gain,+,1,26.967616739938315,,
PC(16:0_16:1),XIC,C40 H78 O8 N1 P1,ESI,754.5357284700001,Na-Gain,+,1,6.973212483883245,,
PC(16:0_16:1),XIC,C40 H78 O8 N1 P1,ESI,754.5357284700001,Na-Gain,+,1,9.227468643382398,,
PC(16:0_16:1),XIC,C40 H78 O8 N1 P1,ESI,776.54471053,HCO2-Gain,-,1,9.227468643382398,,
PC(16:0_16:1),XIC,C40 H78 O8 N1 P1,ESI,732.5537834700001,H-Gain,+,1,9.227468643382398,,
PC(16:0_16:1),XIC,C40 H78 O8 N1 P1,ESI,732.5537834700001,H-Gain,+,1,9.363892576954056,,
PC(16:0_16:1),XIC,C40 H78 O8 N1 P1,ESI,776.54471053,HCO2-Gain,-,1,9.985345437238507,,
PC(16:0_16:1),XIC,C40 H78 O8 N1 P1,ESI,732.5537834700001,H-Gain,+,1,9.985345437238507,,
PC(16:1_16:1),XIC,C40 H76 O8 N1 P1,ESI,752.5200784700002,Na-Gain,+,1,7.622468761047011,,
